Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-12-31,0.82600,0.57100,,-1.39700,0.01300,-1.38400,,-1.38400,-1.38400,-1.38400,-1.50300,-1.39700,18.40600,18.40600,-0.08000,-0.08000,5.68700,,-9.79610,-9.79620,-8.10300,-9.79620,0.75780,-0.0715,-0.0724
2015-09-30,1.50300,1.06800,,-2.57100,-0.03200,-2.60300,,-2.60300,-2.60300,-2.60300,-2.25800,-2.57100,18.48100,18.48100,-0.14000,-0.14000,6.37460,,-16.77080,-16.77080,-14.17830,-16.77080,0.83980,-0.1366,-0.1372
2015-06-30,1.37500,0.98800,,-2.36300,0.09800,-2.26500,,-2.26500,-2.26500,-2.26500,-2.01800,-2.36300,18.45100,18.45100,-0.12000,-0.12000,7.94180,,-12.69830,-12.69830,-11.12310,-12.69830,0.96520,-0.0875,-0.0884
2015-03-31,1.24500,0.96000,,-2.20500,-0.03100,-2.23600,,-2.23600,-2.23600,-2.23600,-1.83500,-2.20500,18.12800,18.12800,-0.12000,-0.12000,8.09900,,-11.37280,-11.37280,-9.98790,-11.37280,1.06890,-0.10690,-0.10690
2014-12-31,1.64300,1.02300,,-1.58600,-1.14400,-2.73000,,-2.73000,-2.73000,-2.73000,-1.11400,-1.58600,13.66300,13.66300,-0.18000,-0.18000,3.07680,,-40.89890,-40.89890,-27.54520,-40.89890,0.43680,-0.1648,-0.1704
2014-09-30,1.57200,0.85800,,-2.43000,0.00900,-2.42100,,-2.42100,-2.42100,-2.42100,-2.12000,-2.43000,15.15800,15.15800,-0.16000,-0.16000,4.63760,,-27.19920,-27.19920,-21.23680,-27.19920,0.58450,-0.054,-0.0526
2014-06-30,0.87700,0.41700,,-1.29400,-0.69000,-1.98400,,-1.98400,-1.98400,-1.98400,-1.09300,-1.29400,12.41700,12.41700,-0.16000,-0.16000,6.85020,,-18.71700,-18.71700,-15.84160,-18.71700,0.70480,-0.0763,-0.0759
2014-03-31,0.68000,0.35100,-1.08000,-2.11100,,-2.11100,,-2.11100,-2.11100,-2.11100,-1.96400,-2.11100,11.75400,11.75400,-0.18000,-0.18000,2.39760,,-245.46600,-245.46520,-50.34580,-245.46510,0.07290,-0.03330,-0.04130
2013-12-31,0.84900,0.55200,0.16500,-1.23600,,-1.23600,,-1.21700,-1.21700,-1.21700,-1.65500,-1.23600,10.73800,10.73800,-0.06010,-0.06010,3.33780,,-44.43230,-44.43230,-25.75120,-44.43230,0.23310,-0.1541,-0.1553
2013-09-30,0.80400,0.27200,-0.00500,-1.08100,,-1.08100,0.00100,-1.08200,-1.08200,-1.08200,-1.12900,-1.08100,10.94800,10.94800,-0.10000,-0.10000,4.09240,,-23.85890,-23.85890,-17.41790,-23.85890,0.38580,-0.0531,-0.0555
2013-06-30,0.74200,0.74300,-0.01500,-1.50000,,-1.50000,0.01800,-1.51800,-1.51800,-1.51800,-1.17200,-1.50000,10.17490,10.17490,-0.14990,-0.14990,2.74170,,-64.45860,-64.45860,-40.01050,-64.45860,0.23120,-0.1038,-0.1083
2013-03-31,0.52200,0.55900,-0.00100,-1.08200,,-1.08200,,-1.08200,-1.08200,-1.08200,-0.84600,-1.08200,10.06860,10.06860,-0.14990,-0.14990,4.05280,,-31.08300,-31.08300,-22.76940,-31.08300,0.34370,-0.06650,-0.06850
2012-12-31,0.28400,0.35000,0.05600,-0.57800,,-0.57800,0.00000,-0.57800,-0.58200,-0.57800,-0.97700,-0.57800,9.17770,9.17770,0.14990,0.14990,4.21630,,-14.61580,-14.61580,-11.32740,-14.61580,0.39780,-0.0889,-0.091
2012-09-30,0.73200,0.44000,0.02200,-1.15000,,-1.15000,,-1.15000,-1.15000,-1.15000,-0.98400,-1.15000,9.69870,9.69870,-0.14990,-0.14990,4.81330,,-25.79050,-25.79050,-20.10140,-25.79050,0.44540,-0.0945,-0.0951
2012-06-30,0.38500,0.44800,0.00400,-0.82900,,-0.82900,0.00100,-0.83000,-0.83000,-0.83000,-0.65400,-0.82900,8.54280,8.54280,-0.14990,-0.14990,0.96620,,-328.06040,-328.06320,-44.86490,-328.06330,0.02950,-0.048,-0.049
2012-03-31,0.36900,0.51000,0.01100,-0.86800,,-0.86800,0.00400,-0.87200,-0.86800,-0.87200,-0.65300,-0.86800,8.44360,8.44360,-0.14990,-0.14990,1.37600,,-106.24220,-106.24230,-38.59490,-106.24230,0.09660,-0.08840,-0.09450
2011-12-31,0.65700,0.55400,-0.21100,-1.42200,,-1.42200,,-1.42200,-1.42200,-1.42200,-1.38500,-1.42200,8.01190,8.01190,0.00000,0.00000,2.03000,,-95.56430,-95.56450,-51.82220,-95.56450,0.17640,-0.0667,-0.0681
2011-09-30,0.17600,0.56400,0.04600,-0.69400,,-0.69400,,-0.69400,-0.69400,-0.69400,-0.65400,-0.69400,8.31060,8.31060,-0.14990,-0.14990,3.46160,,-29.70890,-29.70890,-21.38680,-29.70890,0.27880,-0.1051,-0.1051
2011-06-30,0.58600,0.82900,0.32300,-1.09200,,-1.09200,0.00500,-1.09700,-1.09700,-1.09700,-1.05400,-1.09200,8.08760,8.08760,-0.14990,-0.14990,2.45610,,-48.82070,-48.82060,-30.32900,-48.82070,0.27480,-0.0981,-0.0976
2011-03-31,0.27000,0.25800,-0.17700,-0.70500,,-0.70500,,-0.70500,-0.70500,-0.70500,-0.66700,-0.70500,7.26330,7.26330,-0.14990,-0.14990,2.41300,,-26.44410,-26.44410,-16.01180,-26.44410,0.33020,-0.00760,-0.01270
2010-12-31,0.08700,0.64200,0.23800,-0.49100,,-0.49100,-0.00500,-0.48600,-0.48600,-0.48600,-0.45500,-0.49100,5.94260,5.94260,0.00000,0.00000,0.40690,-0.29850,105.88240,105.88230,-44.62810,105.88230,-0.07180,-0.0989,-0.0994
2010-09-30,0.37100,0.26400,-0.04500,-0.68000,,-0.68000,0.02400,-0.70400,-0.70400,-0.70400,-0.63800,-0.68000,6.11010,6.11010,-0.14990,-0.14990,0.45520,-0.06580,113.00210,113.00160,-50.90380,113.00160,-0.10120,-0.0593,-0.0596
2010-06-30,0.34800,0.26800,0.00200,-0.61400,,-0.61400,,-0.61400,-0.61400,-0.61400,-0.57200,-0.61400,5.91030,5.91030,-0.14990,-0.14990,0.49760,-0.00210,130.63800,130.63830,-41.62710,130.63830,-0.07720,-0.0801,-0.0793
2010-03-31,0.23900,0.37000,-0.00600,-0.61500,,-0.61500,,-0.61500,-0.61500,-0.61500,-0.57300,-0.61500,5.44010,5.44010,-0.14990,-0.14990,0.73340,3.00000,-20485.21000,-20499.86000,-30.87350,-20500.00000,0.00050,-0.10990,-0.11070
2009-12-31,-0.59300,0.68600,-0.01000,-0.10300,,-0.10300,,-0.10300,-0.10300,-0.10300,0.06100,-0.10300,4.07880,4.07880,0.00000,0.00000,0.03640,-0.21230,5.90940,5.90940,-13.60640,5.90940,-0.34240,-0.0749,-0.0749
2009-09-30,0.27500,0.31800,-0.02800,-0.62100,,-0.62100,,-0.62100,-0.62100,-0.62100,-0.48600,-0.62100,4.02810,4.02810,-0.14990,-0.14990,0.02900,-0.10280,24.18220,24.18220,-77.14290,24.18220,-0.63630,-0.0519,-0.0519
2009-06-30,0.21000,0.31400,-0.01900,-0.54300,,-0.54300,,-0.54300,-0.54300,-0.54300,-0.41300,-0.54300,3.95490,3.95490,-0.14990,-0.14990,0.02940,-0.08990,23.69110,23.69110,-65.81820,23.69110,-0.57470,-0.0116,-0.0116
2009-03-31,0.28900,0.25100,0.02600,-0.51400,,-0.51400,,-0.51400,-0.51400,-0.51400,-0.36600,-0.51400,3.68460,3.68460,-0.14990,-0.14990,0.02530,-0.18060,22.53400,22.53400,-61.11770,22.53400,-0.61910,-0.04400,-0.04400
