Ticker,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
XTLB,97.29037267080746,6660.0,5850.0,5849.0,6017.0
AUR,97.23602484472049,10367260.0,9381525.0,163.0,169.0
SWVL,97.23602484472049,25820.0,93405.0,5097.5,4094.0
PRAX,97.23602484472049,227860.0,247040.0,3097.5,3170.0
OCGN,97.20496894409938,3609220.0,3921880.0,477.0,476.0
SOUN,97.17391304347827,12271500.0,12253340.0,135.0,127.0
NTRB,97.17391304347827,25880.0,48725.0,5094.0,4660.0
NLOP,97.17391304347827,157200.0,147235.0,3488.0,3664.0
JXN,97.11180124223603,446500.0,706525.0,2359.0,1978.0
FIX,97.11180124223603,232440.0,275075.0,3078.0,3065.0
KOSS,97.11180124223603,371260.0,254155.0,2575.0,3147.0
PRCT,97.11180124223603,600900.0,587315.0,2034.0,2189.0
FYBR,97.11180124223603,2184300.0,5398200.0,769.0,338.0
CDXC,97.0419254658385,239480.0,275195.0,3048.0,3063.0
SOC,97.0419254658385,902720.0,1254140.0,1561.0,1341.0
LWAY,97.0419254658385,219420.0,203720.0,3126.0,3343.0
RDW,97.0419254658385,283560.0,240350.0,2871.0,3198.0
SPOT,96.96428571428571,1861800.0,1502480.0,884.0,1163.0
ESOA,96.96428571428571,86260.0,126025.0,4086.5,3816.0
ADTH,96.96428571428571,404435.2,1133076.35,2474.0,1442.0
SYRE,96.96428571428571,836740.0,653895.0,1671.0,2079.0
HBB,96.96428571428571,89720.0,64075.0,4058.0,4433.0
CRS,96.96428571428571,421000.0,549540.0,2422.0,2250.0
EUDA,96.87888198757764,55820.0,49600.0,4493.0,4645.0
CCLD,96.87888198757764,70760.0,66180.0,4278.0,4409.0
ZIM,96.87888198757764,6916960.0,5701955.0,253.0,317.0
RKT,96.87888198757764,2668540.0,3392060.0,626.0,537.0
PLTR,96.87888198757764,44325860.0,81124310.0,25.0,6.0
CENX,96.8167701863354,935660.0,1066885.0,1523.0,1501.0
JSPR,96.8167701863354,204060.0,230235.0,3204.0,3229.0
PDYN,96.8167701863354,94380.0,123900.0,4005.0,3831.0
CRMD,96.73136645962734,782920.0,1002160.0,1736.0,1570.0
IBRX,96.73136645962734,2342660.0,2717600.0,713.0,665.0
USLM,96.73136645962734,60500.0,58715.0,4411.0,4495.0
HA,96.73136645962734,2965999.4,2566301.2,565.0,707.0
HOOD,96.73136645962734,12188400.0,11775925.0,136.0,135.0
NKTR,96.73136645962734,1377540.0,985930.0,1134.0,1589.0
NEXN,96.73136645962734,37420.0,60670.0,4823.0,4470.0
PCVX,96.73136645962734,711820.0,1271780.0,1841.0,1320.0
SN,96.64596273291926,1126960.0,1198750.0,1324.0,1394.0
DBD,96.64596273291926,168320.0,138935.0,3409.5,3722.0
DCTH,96.64596273291926,262800.0,260565.0,2947.0,3128.0
RYTM,96.59937888198758,272280.0,504375.0,2915.0,2358.0
RSI,96.59937888198758,1449140.0,1809745.0,1093.0,994.0
HIPO,96.59937888198758,89440.0,115925.0,4062.0,3895.0
WING,96.55279503105591,297460.0,335055.0,2823.0,2847.0
ANF,96.55279503105591,1706500.0,1710150.0,964.0,1045.0
MCY,96.55279503105591,194740.0,319440.0,3246.0,2890.0
AGX,96.49844720496894,250120.0,301055.0,2996.0,2967.0
CLPT,96.49844720496894,123020.0,164975.0,3743.0,3563.0
CLSK,96.49844720496894,23527840.0,19749295.0,54.0,58.0
DERM,96.49844720496894,65320.0,50245.0,4353.0,4634.0
TWST,96.41304347826087,568060.0,783805.0,2094.0,1848.0
ALRN,96.41304347826087,56020.0,105370.0,4488.0,3971.0
ACIW,96.41304347826087,653360.0,764295.0,1944.0,1880.0
AIRG,96.41304347826087,37920.0,38690.0,4813.5,4842.0
NVEI,96.41304347826087,502060.0,496735.0,2222.0,2379.0
MAX,96.41304347826087,505920.0,490660.0,2209.0,2395.0
NUVL,96.41304347826087,618320.0,839640.0,2008.0,1772.0
RCKY,96.31987577639751,63340.0,40915.0,4384.0,4791.0
FICO,96.31987577639751,121300.0,133155.0,3754.0,3775.0
MRUS,96.31987577639751,408460.0,568130.0,2459.0,2229.0
SRTS,96.31987577639751,83840.0,120430.0,4109.0,3864.0
CXDO,96.31987577639751,80940.0,72590.0,4152.0,4323.0
GERN,96.25,7675660.0,8143520.0,221.0,207.0
KGC,96.25,12062000.0,17626725.0,137.0,71.0
ZJYL,96.25,202360.0,249860.0,3211.0,3157.0
MG,96.25,207680.0,166720.0,3177.0,3549.0
COMP,96.18012422360248,4189860.0,6062795.0,414.0,292.0
DY,96.18012422360248,249840.0,309715.0,2999.0,2925.0
BWAY,96.18012422360248,152660.0,88855.0,3526.0,4147.5
HWM,96.18012422360248,1770060.0,2389780.0,932.0,752.0
CLMB,96.18012422360248,48300.0,35520.0,4622.5,4913.0
NNBR,96.09472049689441,103500.0,101075.0,3904.0,4014.0
RKLB,96.09472049689441,21126040.0,14865245.0,60.0,94.0
CVLT,96.09472049689441,238300.0,311250.0,3054.0,2918.0
BELFA,96.09472049689441,13720.0,15630.0,5513.0,5512.0
BWIN,96.09472049689441,613920.0,472410.0,2015.0,2445.0
GCI,96.09472049689441,1362720.0,1968815.0,1149.0,925.0
QNST,96.00931677018633,525220.0,464580.0,2170.0,2474.0
CLBT,96.00931677018633,844440.0,845850.0,1649.0,1755.0
CRDL,96.00931677018633,301300.0,427370.0,2812.0,2572.0
ACLX,96.00931677018633,457100.0,526555.0,2337.0,2307.0
IOVA,96.00931677018633,3974480.0,5450530.0,434.0,332.0
BLBD,95.93944099378882,735380.0,584055.0,1812.0,2196.0
COIN,95.93944099378882,11560060.0,7871405.0,141.0,223.0
LE,95.93944099378882,119360.0,122705.0,3770.5,3845.0
DSGN,95.93944099378882,198540.0,445330.0,3228.0,2528.0
MMYT,95.84627329192547,1364780.0,715335.0,1145.0,1968.0
GDS,95.84627329192547,2579060.0,1912670.0,650.0,949.0
TME,95.84627329192547,18269020.0,12420705.0,70.0,124.0
ARQT,95.84627329192547,2047100.0,1975420.0,814.0,921.0
KKR,95.84627329192547,2564880.0,2876205.0,652.0,628.0
IREN,95.84627329192547,13597700.0,13802990.0,121.0,108.0
BILI,95.84627329192547,22441000.0,9236085.0,57.0,176.0
SE,95.84627329192547,4432280.0,4366030.0,394.0,428.0
CASI,95.722049689441,17340.0,17305.0,5369.5,5445.0
CALT,95.722049689441,0.0,5567.15,6390.5,6031.0
